event_id,timestamp,session_elapsed_s,source,control_mode,force_value,left_value,right_value,threshold,trigger_id,simulated,perf_counter
1,1779294290.6924996,6.698697200001334,force,force,632.118072864769,0.5301490342985328,0.0,610.08,force_jump,False,88059.396898
2,1779294290.8447056,6.850898799995775,force,force,970.1877531529689,0.0,0.0,610.08,force_jump,False,88059.5486476
3,1779294290.991235,6.9974247999925865,force,force,972.310249610664,0.15918234517816676,1.0,610.08,force_jump,False,88059.6994768
4,1779294291.1387677,7.144953900002292,force,force,860.3432442132909,0.8389304960748298,0.09402671818028362,610.08,force_jump,False,88059.8533267
5,1779294291.6392493,7.6454220000014175,force,force,664.3268114451478,0.38145584577572333,0.48081802917884425,610.08,force_jump,False,88060.3426682
6,1779294291.7871983,7.793367199992645,force,force,981.1669673298177,0.18946233289347836,0.2946641025230196,610.08,force_jump,False,88060.4963278
7,1779294291.9349575,7.941122599993832,force,force,980.4976553001485,0.5895630173129904,0.0,610.08,force_jump,False,88060.6492986
8,1779294292.0858965,8.092057699992438,force,force,977.82416111402,0.0,0.0,610.08,force_jump,False,88060.7997727
9,1779294292.2349758,8.241132900002412,force,force,912.6637981447245,0.17400931563543973,0.0,610.08,force_jump,False,88060.9499791
10,1779294293.0088973,9.015035399992485,force,force,652.7270441294935,1.0,1.0,610.08,force_jump,False,88061.7223284
11,1779294293.1587102,9.164844799990533,force,force,975.1068300671028,0.7420694465943113,0.11788682809424142,610.08,force_jump,False,88061.8763333
12,1779294293.3252175,9.331346099992516,force,force,975.023348477149,0.6535248705809938,0.10039952286750993,610.08,force_jump,False,88062.0306163
13,1779294293.4754922,9.48161849999451,force,force,932.4552518359664,0.27569262343937817,0.25169298448072425,610.08,force_jump,False,88062.1854826
14,1779294293.6275795,9.63370120000036,force,force,740.7731985882764,0.3478392605139631,0.0,610.08,force_jump,False,88062.337044
15,1779294296.0390813,12.045140399990487,force,force,634.3850339481615,0.5724814615831435,0.7570471813137224,610.08,force_jump,False,88064.7514345
16,1779294296.1903872,12.196443199994974,force,force,973.8484053310918,1.0,0.36230642217231634,610.08,force_jump,False,88064.9032809
17,1779294296.3410826,12.347134299998288,force,force,970.9889598480811,0.6433631042709465,0.9409141453226185,610.08,force_jump,False,88065.0550008
18,1779294296.4881878,12.494236500002444,force,force,757.862879731227,0.39731678143013965,0.28782480560278717,610.08,force_jump,False,88065.2067233
19,1779294298.6513777,14.657370699991588,force,force,681.7663662056366,0.5817937909571461,0.36538683111659487,610.08,force_jump,False,88067.3645393
20,1779294298.8013127,14.807302100001834,force,force,968.1959605751898,0.13762949828259527,0.5427808443070028,610.08,force_jump,False,88067.5193006
21,1779294298.9529989,14.95898440000019,force,force,960.7051601348751,0.9309927110083919,0.05445372289682802,610.08,force_jump,False,88067.6718798
22,1779294299.1198819,15.125862999993842,force,force,758.8843313048011,0.9054287833934265,0.18507940288758018,610.08,force_jump,False,88067.8240253
23,1779294299.9776528,15.983611899995594,force,force,624.071917144549,0.5931365385799906,0.0,610.08,force_jump,False,88068.6867777
24,1779294300.1286829,16.13463800000318,force,force,970.3954884378122,0.0,0.04568311051450139,610.08,force_jump,False,88068.8399565
25,1779294300.279427,16.285377399995923,force,force,950.6166793145134,0.0,0.019603432054616447,610.08,force_jump,False,88068.991204
26,1779294300.4278076,16.433754900004715,force,force,660.1519331462629,0.006078701402327982,0.3111127481984118,610.08,force_jump,False,88069.1419746
27,1779294303.080789,19.086667900002794,force,force,652.2253410449915,0.0,0.0,610.08,force_jump,False,88071.7995791
28,1779294303.247729,19.25360389999696,force,force,963.9174290227978,0.3070604625181841,0.008789354550046459,610.08,force_jump,False,88071.9512095
29,1779294303.3954816,19.401352300003055,force,force,963.8564413314538,0.25087499654069517,0.0,610.08,force_jump,False,88072.1050311
30,1779294303.543857,19.549723899996025,force,force,936.9148979707746,0.0,0.1496215684173552,610.08,force_jump,False,88072.2586015
31,1779294304.538799,20.544640599997365,force,force,610.1364200408894,0.0,0.0,610.08,force_jump,False,88073.2476497
32,1779294304.6884565,20.694293499997002,force,force,970.9635629319461,0.10754933926346906,0.0,610.08,force_jump,False,88073.4010115
33,1779294304.839185,20.845018799998797,force,force,898.0441813040366,0.21199818704310935,0.0,610.08,force_jump,False,88073.5547739
34,1779294306.1580124,22.16381209999963,force,force,621.1824067962131,0.05061457313587085,0.1982415360505157,610.08,force_jump,False,88074.8621121
35,1779294306.3090482,22.314844099993934,force,force,972.1754134397135,0.3153667636031454,0.0,610.08,force_jump,False,88075.0165198
36,1779294306.4602077,22.466000300002634,force,force,961.9835276507656,0.0,0.0,610.08,force_jump,False,88075.1688279
37,1779294306.6076045,22.61339240000234,force,force,680.5597320315718,0.0,0.9823522493662349,610.08,force_jump,False,88075.3198247
38,1779294308.6952393,24.700973799990606,force,force,629.3568783255279,0.40885378049846216,0.415377599188571,610.08,force_jump,False,88077.3996809
39,1779294308.8420699,24.84780010000395,force,force,908.7308331787556,1.0,0.41780491921674556,610.08,force_jump,False,88077.5508549
40,1779294308.9887075,24.994434799999,force,force,968.3249384766167,0.22492757211218736,0.0,610.08,force_jump,False,88077.7011192
41,1779294309.1394498,25.14517319999868,force,force,805.3833573456228,0.0,0.0,610.08,force_jump,False,88077.8566236
42,1779294309.9301386,25.93584109999938,force,force,655.1868517745405,0.7469616592277154,0.501836556192774,610.08,force_jump,False,88078.6415597
43,1779294310.079535,26.085234300000593,force,force,971.0343020514847,0.3347249813813224,0.583588869325618,610.08,force_jump,False,88078.7947602
44,1779294310.242023,26.247718099999474,force,force,968.6812455349838,0.686519707086469,1.0,610.08,force_jump,False,88078.9499223
45,1779294310.3898273,26.39551859999483,force,force,953.665950563833,1.0,0.8635962314729773,610.08,force_jump,False,88079.1034997
46,1779294311.1377385,27.143410799995763,force,force,626.5972510414439,0.46863145379557,0.2829115086233164,610.08,force_jump,False,88079.8560544
47,1779294311.3007443,27.306411800003843,force,force,833.464503808473,0.0,0.5364762233490639,610.08,force_jump,False,88080.0093411
48,1779294314.749772,30.75535079999827,force,force,626.1195128089471,0.27361601317058065,0.8505380366779104,610.08,force_jump,False,88083.4632496
49,1779294314.9140787,30.919654099998297,force,force,963.7974993399617,1.0,0.21675724830532112,610.08,force_jump,False,88083.6170886
50,1779294315.0646052,31.070175799992285,force,force,969.0488708276446,0.7058200997887449,0.5379182813451132,610.08,force_jump,False,88083.7690488
51,1779294316.0544631,32.0600085999904,force,force,616.7122407648477,0.6770536482450957,0.5879468334769099,610.08,force_jump,False,88084.7625481
52,1779294316.2002232,32.20576519999304,force,force,973.9576283310372,0.11064861545006484,1.0,610.08,force_jump,False,88084.9130943
53,1779294316.3505206,32.35605879999639,force,force,887.1862369486071,0.4699487133205692,0.29695028033206583,610.08,force_jump,False,88085.0652741
54,1779294316.9628825,32.968405099993106,force,force,866.2901971745109,0.11630142959998047,0.2950407164476224,610.08,force_jump,False,88085.6694979
55,1779294317.1108701,33.11638870000024,force,force,968.46610725934,0.0,0.1319049754749903,610.08,force_jump,False,88085.8233235
56,1779294317.2581124,33.26362759999756,force,force,958.7126764249655,0.0,0.0,610.08,force_jump,False,88085.9760915
57,1779294317.4253504,33.43086089999997,force,force,781.7515221384779,0.0,0.23809377469630216,610.08,force_jump,False,88086.128027
