timestamp,sample_timestamp,unityTimestamp,localTimestamp,emg1,emg2,rms1,rms2,left_processed,right_processed
14802.5522402,14802.5522402,14802.5522402,14802.5522402,0.08307055840479242,0.16827513407229358,0.08307055840479242,0.16827513407229358,0.0,0.30468422419459656
14802.5572402,14802.5572402,14802.5572402,14802.5572402,0.0819153937114702,0.16806649947464514,0.08249499803196919,0.1681708491277684,0.0,0.3034227691005484
14802.562240199999,14802.562240199999,14802.562240199999,14802.562240199999,0.08075703919698074,0.16784606455099318,0.08191977535054623,0.1680626573414069,0.0,0.3021140559333577
14802.567240199998,14802.567240199998,14802.567240199998,14802.567240199998,0.07959561842037828,0.16761388272925473,0.08134496181721144,0.16795057610912043,0.0,0.30075829511803864
14802.572240199997,14802.572240199997,14802.572240199997,14802.572240199997,0.07843122227857535,0.16736987700753755,0.0807706232243947,0.16783459702401055,0.0,0.29935538496278064
14802.577240199997,14802.577240199997,14802.577240199997,14802.577240199997,0.07726398071274462,0.16711412319884458,0.08019683139611877,0.1677147329860929,0.0,0.2979054815091919
14802.582240199996,14802.582240199996,14802.582240199996,14802.582240199996,0.07609392723507229,0.16684626957300927,0.07962364720350848,0.16759094232002938,0.0,0.2964080806426293
14802.587240199995,14802.587240199995,14802.587240199995,14802.587240199995,0.07492137482639852,0.166567213278365,0.07905116125317135,0.1674633184362057,0.0,0.294864312276979
14802.592240199994,14802.592240199994,14802.592240199994,14802.592240199994,0.07374637865327617,0.3123735150991761,0.07847945033805671,0.18912926711312894,0.0,0.5569406978024972
14802.597240199993,14802.597240199993,14802.597240199993,14802.597240199993,0.1381384474441778,0.16597449441314877,0.0863211722525589,0.18694289232395112,0.0,0.530493796690701
14802.602240199993,14802.602240199993,14802.602240199993,14802.602240199993,0.07138927956657581,0.16566050212602831,0.08507209617708446,0.1851092679446611,0.0,0.5083138470886028
14802.607240199992,14802.607240199992,14802.607240199992,14802.607240199992,0.07020743586101535,0.16533487569154057,0.08393398252881684,0.1835427908756404,0.0,0.48936537387012713
14802.612240199991,14802.612240199991,14802.612240199991,14802.612240199991,0.06902359664086832,0.16499786078925444,0.08288231599963058,0.18218329042985992,0.0,0.47292053832364706
14802.61724019999,14802.61724019999,14802.61724019999,14802.61724019999,0.0678378275546322,0.164649180623003,0.0818994107855772,0.18098719760048643,0.0,0.4584523195463601
14802.62224019999,14802.62224019999,14802.62224019999,14802.62224019999,0.06665030131484118,0.16428920612193795,0.08097219748518837,0.1799222170795039,0.0,0.4455700659346609
14802.627240199989,14802.627240199989,14802.627240199989,14802.627240199989,0.06546108143415529,0.16391760478107417,0.08009080965778559,0.1789638657905602,0.0,0.4339776244673919
14802.632240199988,14802.632240199988,14802.632240199988,14802.632240199988,0.06427033377187387,0.16353474062210901,0.07900259599994892,0.17868899916868808,0.0,0.4306527734841261
14802.637240199987,14802.637240199987,14802.637240199987,14802.637240199987,0.06307814983825458,0.1631404461609295,0.07791473065786825,0.1784034388174813,0.0,0.4271985686482501
14802.642240199986,14802.642240199986,14802.642240199986,14802.642240199986,0.32313068268669043,0.3225772891261144,0.110403527675046,0.19123421467292753,0.0,0.5824026360918809
14802.647240199985,14802.647240199985,14802.647240199985,14802.647240199985,0.06069000175785904,0.1623181683840121,0.10965024983189757,0.19094848321751365,0.0,0.5789463615394734
14802.652240199985,14802.652240199985,14802.652240199985,14802.652240199985,0.05949426418183137,0.16189017573584727,0.10890332509087679,0.19065297748123597,0.0,0.5753718549983313
14802.657240199984,14802.657240199984,14802.657240199984,14802.657240199984,0.058297561034553816,0.16145079337132728,0.10816302232064608,0.19034773338338623,0.0,0.5716795509566134
14802.662240199983,14802.662240199983,14802.662240199983,14802.662240199983,0.05710004638511389,0.16100050769597268,0.10742961646344053,0.19003283260318052,0.0,0.5678704374252321
14802.667240199982,14802.667240199982,14802.667240199982,14802.667240199982,0.05590181157143946,0.16053897084167948,0.10670337390014958,0.18970828989770716,0.0,0.5639446929093817
14802.672240199981,14802.672240199981,14802.672240199981,14802.672240199981,0.05470298898396744,0.16006641493442247,0.10598456511035864,0.17745982086608075,0.0,0.41578434507984235
14802.67724019998,14802.67724019998,14802.67724019998,14802.67724019998,0.05350369442507097,0.15958279140162554,0.10108908921124758,0.17709300926084326,0.0,0.41134730606055175
14802.68224019998,14802.68224019998,14802.68224019998,14802.68224019998,0.05230405360213377,0.1590883271921578,0.10035666025080664,0.17671598625144408,0.0,0.4067867475068184
