timestamp,session_elapsed_s,perf_counter,force_raw,force_rms
1779360384.6108563,5.356077299977187,154158.1061439,0.0,0.0
1779360384.6177468,5.361077299981844,154158.1111439,0.0,0.0
1779360384.620998,5.3660772999865,154158.1161439,0.0,0.0
1779360384.6260636,5.371077299991157,154158.1211439,0.0,0.0
1779360384.6332555,5.3760772999958135,154158.1261439,0.0,0.0
1779360384.636185,5.38107730000047,154158.1311439,0.0,0.0
1779360384.6412525,5.386077300005127,154158.13614390002,0.0,0.0
1779360384.6463568,5.391077300009783,154158.14114390002,0.0,0.0
1779360384.6518772,5.39607730001444,154158.14614390003,0.0,0.0
1779360384.6562011,5.401077300019097,154158.15114390003,0.0,0.0
1779360384.6615539,5.406077300023753,154158.15614390004,0.0,0.0
1779360384.666551,5.41107730002841,154158.16114390004,0.0,0.0
1779360384.6711164,5.416077300033066,154158.16614390005,0.0,0.0
1779360384.676051,5.421077300037723,154158.17114390005,0.0,0.0
1779360384.6816673,5.42607730004238,154158.17614390005,0.0,0.0
1779360384.6870272,5.431077300047036,154158.18114390006,0.0,0.0
1779360384.69195,5.436077300051693,154158.18614390006,0.0,0.0
1779360384.6970003,5.4410773000563495,154158.19114390007,0.0,0.0
1779360384.7014382,5.446077300061006,154158.19614390007,0.5704508573838234,0.2852254286919117
1779360384.7062213,5.451077300065663,154158.20114390008,0.4638799055430022,0.36762710300538365
1779360384.711833,5.456077300070319,154158.20614390008,0.35730895370218085,0.40873843587686703
1779360384.7176828,5.461077300074976,154158.2111439001,0.25073800186135964,0.42753303422943184
1779360384.7215545,5.4660773000796326,154158.2161439001,0.1441670500205383,0.32653787645975446
1779360384.7264926,5.471077300084289,154158.2211439001,0.037596098179716986,0.23061701958178288
1779360384.7313447,5.476077300088946,154158.2261439001,-0.06897485366110434,0.14985382955146764
1779360384.736437,5.481077300093602,154158.2311439001,-0.06897485366110434,0.08904025183183283
1779360384.740938,5.486077300098259,154158.2361439001,-0.06897485366110434,0.06262199675643375
1779360384.746287,5.491077300102916,154158.24114390012,-0.06897485366110434,0.06897485366110434
1779360384.7513075,5.496077300107572,154158.24614390012,-0.06897485366110434,0.06897485366110434
1779360384.7562463,5.501077300112229,154158.25114390012,-0.06897485366110434,0.06897485366110434
1779360384.7610922,5.5060773001168855,154158.25614390013,0.0,0.05973397549283045
1779360384.7675717,5.511077300121542,154158.26114390013,0.0,0.04877258675511664
1779360384.7711792,5.516077300126199,154158.26614390014,0.0,0.03448742683055217
1779360384.7763708,5.521077300130855,154158.27114390014,0.0,0.0
1779360384.7811143,5.526077300135512,154158.27614390015,0.0,0.0
1779360384.787086,5.5310773001401685,154158.28114390015,0.0,0.0
1779360384.7917502,5.536077300144825,154158.28614390016,0.0,0.0
1779360384.7964592,5.541077300149482,154158.29114390016,0.0,0.0
1779360384.8014076,5.546077300154138,154158.29614390017,0.0,0.0
1779360384.8058891,5.551077300158795,154158.30114390017,0.4275995665796642,0.2137997832898321
1779360384.8109348,5.556077300163452,154158.30614390018,0.5360321520236725,0.34284539421663746
1779360384.8172874,5.561077300168108,154158.31114390018,0.6444647374676808,0.4705068158862135
1779360384.8212616,5.566077300172765,154158.31614390019,0.7528973229116892,0.6025697125704879
1779360384.826145,5.571077300177421,154158.3211439002,0.8613299083556976,0.709120732971128
1779360384.831353,5.576077300182078,154158.3261439002,0.9697624937997059,0.8161675198903002
1779360384.8360481,5.581077300186735,154158.3311439002,1.0781950792437143,0.9235376972762952
1779360384.8411043,5.586077300191391,154158.3361439002,1.0781950792437143,1.0009168001411728
1779360384.8463218,5.591077300196048,154158.3411439002,1.0781950792437143,1.0521351126514957
1779360384.851556,5.5960773002007045,154158.3461439002,0.5746889385873465,0.976957171892751
1779360384.855986,5.601077300205361,154158.35114390022,0.46039303556070466,0.846646086203995
1779360384.861137,5.606077300210018,154158.35614390022,0.3460971325340628,0.6753734110440518
1779360384.8676562,5.611077300214674,154158.36114390023,0.231801229507421,0.4230083209810724
1779360384.8711464,5.616077300219331,154158.36614390023,0.11750532648077916,0.3159447277980784
1779360384.8761375,5.6210773002239875,154158.37114390024,0.003209423454137328,0.2164098179956926
1779360384.8839545,5.626077300228644,154158.37614390024,-0.1110864795725045,0.1413239347166882
1779360384.8861034,5.631077300233301,154158.38114390025,-0.1110864795725045,0.0981048087989159
1779360384.8909178,5.636077300237957,154158.38614390025,-0.1110864795725045,0.09621709597356562
1779360384.89618,5.641077300242614,154158.39114390025,-0.1110864795725045,0.1110864795725045
1779360384.9012492,5.646077300247271,154158.39614390026,-0.1110864795725045,0.1110864795725045
1779360384.9065483,5.651077300251927,154158.40114390026,0.5004659502593178,0.26808897086620304
1779360384.9110935,5.656077300256584,154158.40614390027,0.5842691402257874,0.3925929849974295
1779360384.9168873,5.6610773002612405,154158.41114390027,0.6680723301922569,0.5124688868364271
1779360384.9214396,5.666077300265897,154158.41614390028,0.7518755201587265,0.6331417755470748
1779360384.9265778,5.671077300270554,154158.42114390028,0.835678710125196,0.7161296619605907
1779360384.931797,5.67607730027521,154158.4261439003,0.9194819000916655,0.7992876996637629
1779360384.9365377,5.681077300279867,154158.4311439003,1.0032850900581352,0.8825677935574704
1779360384.9415476,5.6860773002845235,154158.4361439003,1.0032850900581352,0.9429962639134117
1779360384.946718,5.69107730028918,154158.4411439003,1.0032850900581352,0.9830043082808768
1779360384.951876,5.696077300293837,154158.4461439003,1.0032850900581352,1.0032850900581352
1779360384.9559948,5.701077300298493,154158.4511439003,0.5659070617756004,0.9137824848352005
1779360384.9612792,5.70607730030315,154158.45614390032,0.4584370350877245,0.7974298184751806
1779360384.9672065,5.711077300307807,154158.46114390032,0.3509670083998486,0.6442387233443858
1779360384.970971,5.716077300312463,154158.46614390032,0.24349698171197287,0.4221622729459304
1779360384.9760303,5.72107730031712,154158.47114390033,0.136026955024097,0.32059962130402286
1779360384.98126,5.726077300321776,154158.47614390033,0.028556928336221143,0.22460379100602246
1779360384.9863622,5.731077300326433,154158.48114390034,-0.07891309835165472,0.14563386268604098
1779360384.9909942,5.73607730033109,154158.48614390034,-0.07891309835165472,0.08912545207745602
1779360384.9961302,5.741077300335746,154158.49114390035,-0.07891309835165472,0.06981641896855972
1779360385.0011601,5.746077300340403,154158.49614390035,-0.07891309835165472,0.07891309835165472
1779360385.0063584,5.7510773003450595,154158.50114390036,-0.07891309835165472,0.07891309835165472
1779360385.0111136,5.756077300349716,154158.50614390036,-0.07891309835165472,0.07891309835165472
1779360385.0179386,5.761077300354373,154158.51114390037,-0.07891309835165472,0.07891309835165472
1779360385.021379,5.766077300359029,154158.51614390037,-0.07891309835165472,0.07891309835165472
