timestamp,session_elapsed_s,perf_counter,force_raw,force_rms
1778686516.6254272,1.0043281000107527,609897.7814023,0.0,0.0
1778686516.6305244,1.0093281000154093,609897.7864023,0.0,0.0
1778686516.6356142,1.014328100020066,609897.7914023,0.0,0.0
1778686516.6404345,1.0193281000247225,609897.7964023,0.0,0.0
1778686516.645522,1.0243281000293791,609897.8014023,0.0,0.0
1778686516.6502922,1.0293281000340357,609897.8064023,0.0,0.0
1778686516.6559432,1.0343281000386924,609897.8114023,0.0,0.0
1778686516.6605837,1.039328100043349,609897.8164023,0.0,0.0
1778686516.6653066,1.0443281000480056,609897.8214023,0.0,0.0
1778686516.6706107,1.0493281000526622,609897.8264023,0.0,0.0
1778686516.6757889,1.0543281000573188,609897.8314023,0.08001794064375502,0.04000897032187751
1778686516.6803918,1.0593281000619754,609897.8364023,0.0800219754023822,0.056582654966356435
1778686516.6858203,1.064328100066632,609897.8414023,0.08002601016100941,0.06930106361820311
1778686516.691198,1.0693281000712886,609897.8464023,0.08003004491963661,0.08002399290883953
1778686516.6954613,1.0743281000759453,609897.8514023001,0.08003407967826381,0.08002802766746032
