timestamp,unityTimestamp,localTimestamp,emg1,emg2,rms1,rms2,left_processed,right_processed
63.728531041,63.728531041,63.728531041,0.31913146425056427,0.15821346689958352,0.31913146425056427,0.15821346689958352,1.0,1.0
63.733531041,63.733531041,63.733531041,0.16334811236082367,0.15872667904676366,0.2535029558866656,0.1584702807304889,1.0,1.0
63.738531041,63.738531041,63.738531041,0.1637364049252987,0.15922901171107898,0.22755007330579266,0.15872359404542105,1.0,1.0
63.743531041000004,63.743531041000004,63.743531041000004,0.1641133422647017,0.15972043914121895,0.21346562761584473,0.15897339132662316,1.0,1.0
63.74853104100001,63.74853104100001,63.74853104100001,0.1854293780541583,0.16020094459141945,0.20816068357845963,0.15921965911754346,1.0,1.0
63.75353104100001,63.75353104100001,63.75353104100001,0.16483298082464326,0.1606703631138105,0.20158714513695028,0.15946235962898236,1.0,1.0
63.75853104100001,63.75853104100001,63.75853104100001,0.16517557768922467,0.1611287334422471,0.19679838630717778,0.15970147757226835,1.0,1.0
63.763531041000014,63.763531041000014,63.763531041000014,0.1655066006795078,0.16157593653581143,0.19316433057122967,0.15993698635665263,1.0,1.0
63.76853104100002,63.76853104100002,63.76853104100002,0.16582606637920816,0.16201197550262827,0.19032076815823093,0.16016886819335013,1.0,1.0
63.77353104100002,63.77353104100002,63.77353104100002,0.16613400358622,0.1624368655514007,0.18804213896854025,0.16039711105104504,1.0,1.0
63.77853104100002,63.77853104100002,63.77853104100002,0.1664304186264054,0.1628506003366587,0.18618112992039831,0.16062170417282934,1.0,1.0
63.783531041000025,63.783531041000025,63.783531041000025,0.22327552097190928,0.1632529770012086,0.18954979618121376,0.16084262102673016,1.0,1.0
63.78853104100003,63.78853104100003,63.78853104100003,0.16698801512193237,0.16364390698681155,0.18791047377007833,0.1610598343566496,1.0,1.0
63.79353104100003,63.79353104100003,63.79353104100003,0.16724936368487317,0.1640236156510272,0.1865105990162171,0.1612733393187134,1.0,1.0
63.79853104100003,63.79853104100003,63.79853104100003,0.16749896686910504,0.164391902136957,0.18530385020962215,0.16148311720596492,1.0,1.0
