timestamp,sample_timestamp,unityTimestamp,localTimestamp,emg1,emg2,rms1,rms2,left_processed,right_processed
86852.7521465,86852.7521465,86852.7521465,86852.7521465,0.12900824291980142,0.1505518233814379,0.12900824291980142,0.1505518233814379,0.0025480504468468083,0.03889808932359072
86852.75714650001,86852.75714650001,86852.75714650001,86852.75714650001,0.1281011497789446,0.15120176552461706,0.12855549641291517,0.1508771444275722,0.0,0.04194755096353784
86852.76214650001,86852.76214650001,86852.76214650001,86852.76214650001,0.12718614520565347,0.15184145584944478,0.1281006724523277,0.15119926491853483,0.0,0.04496701156193409
86852.76714650002,86852.76714650002,86852.76714650002,86852.76714650002,0.12626348643368807,0.15247104578794218,0.12764385497802644,0.15151821090168055,0.0,0.04795671527884834
86852.77214650002,86852.77214650002,86852.77214650002,86852.77214650002,0.7724270476957003,0.1530904410506363,0.36381736046167484,0.15183395936381489,1.0,0.05091644639551737
86852.77714650003,86852.77714650003,86852.77714650003,86852.77714650003,0.33385420968113516,0.15369950826484022,0.358997212660562,0.1521464726950736,1.0,0.05384585236838559
86852.78214650003,86852.78214650003,86852.78214650003,86852.78214650003,0.12345013941147369,0.1542981073651439,0.33562605234930076,0.15245570825549026,1.0,0.05674453350323282
86852.78714650004,86852.78714650004,86852.78714650004,86852.78714650004,0.12249502641505987,0.15488270573264104,0.31692249853186805,0.15276119164927246,1.0,0.059608042956584194
86852.79214650004,86852.79214650004,86852.79214650004,86852.79214650004,0.1215376898461141,0.1554640980203189,0.3015313454607968,0.15306387162304255,1.0,0.062445273993924195
86852.79714650004,86852.79714650004,86852.79714650004,86852.79714650004,0.12057067498510445,0.15603128605722513,0.28858753582317953,0.15336319682205016,1.0,0.0652510583816532
86852.80214650005,86852.80214650005,86852.80214650005,86852.80214650005,0.11959646754638073,0.15658766323338813,0.2775101920117729,0.15365912618865823,1.0,0.06802501125783046
86852.80714650005,86852.80714650005,86852.80714650005,86852.80714650005,0.11861556951456698,0.15713379310858783,0.2678931109456697,0.15395167710691302,1.0,0.07076729557527675
